Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,0.417456,0.417456,0.384647,0.398003,0.398003,2258366889
2019-05-21,0.398209,0.403105,0.389302,0.397603,0.397603,1811582121
2019-05-22,0.397493,0.407428,0.373879,0.376637,0.376637,2028827459
2019-05-23,0.376736,0.383126,0.366805,0.381204,0.381204,1595345470
2019-05-24,0.381313,0.392683,0.374502,0.384541,0.384541,1872678191
2019-05-25,0.384804,0.393600,0.383478,0.387040,0.387040,1363572842
2019-05-26,0.387129,0.409859,0.379447,0.408413,0.408413,1848938650
2019-05-27,0.408397,0.440374,0.407021,0.434168,0.434168,2736949591
2019-05-28,0.433781,0.453887,0.421021,0.446549,0.446549,3193961851
2019-05-29,0.446747,0.453277,0.424314,0.443713,0.443713,2538438749
2019-05-30,0.443786,0.469458,0.413677,0.422395,0.422395,3527827314
2019-05-31,0.422332,0.440177,0.412928,0.438574,0.438574,2225730799
2019-06-01,0.438711,0.440843,0.424181,0.430583,0.430583,1740720642
2019-06-02,0.430953,0.445865,0.429799,0.444785,0.444785,1595105831
2019-06-03,0.444674,0.459579,0.424949,0.425764,0.425764,2544969218
2019-06-04,0.425415,0.425415,0.391093,0.400667,0.400667,2537240037
2019-06-05,0.400272,0.407157,0.392688,0.402732,0.402732,1768216478
2019-06-06,0.402333,0.420554,0.394918,0.419540,0.419540,2014934546
2019-06-07,0.419548,0.430532,0.416001,0.423130,0.423130,1659632775
2019-06-08,0.423261,0.425115,0.407667,0.412411,0.412411,1244578043
2019-06-09,0.412689,0.413613,0.379967,0.388266,0.388266,1575002838
2019-06-10,0.388186,0.404672,0.383885,0.400427,0.400427,1477656039
2019-06-11,0.400674,0.402053,0.387196,0.394261,0.394261,1186383475
2019-06-12,0.394351,0.403183,0.390625,0.401760,0.401760,1221700742
2019-06-13,0.401696,0.407459,0.399352,0.400887,0.400887,1209093570
2019-06-14,0.400839,0.407512,0.393815,0.405921,0.405921,1262403986
2019-06-15,0.405759,0.412854,0.403475,0.410419,0.410419,1344741902
2019-06-16,0.410535,0.438876,0.408303,0.427516,0.427516,1981370152
2019-06-17,0.427161,0.459385,0.427092,0.448080,0.448080,1979014572
2019-06-18,0.447815,0.454499,0.423634,0.428761,0.428761,1832910177
2019-06-19,0.428757,0.438121,0.426449,0.436817,0.436817,1150637870
2019-06-20,0.436565,0.436714,0.423504,0.429823,0.429823,1296288449
2019-06-21,0.429813,0.446312,0.429535,0.443188,0.443188,1546835769
2019-06-22,0.443629,0.505467,0.442571,0.474764,0.474764,3641363867
2019-06-23,0.474858,0.488133,0.465424,0.468291,0.468291,2114801632
2019-06-24,0.468564,0.472181,0.452162,0.470088,0.470088,1641873590
2019-06-25,0.470534,0.473553,0.458875,0.468229,0.468229,1958460938
2019-06-26,0.468444,0.494310,0.460844,0.467451,0.467451,3581004665
2019-06-27,0.467701,0.470648,0.395387,0.408754,0.408754,3038678718
2019-06-28,0.409027,0.427994,0.402158,0.427315,0.427315,1974643650
2019-06-29,0.427877,0.429711,0.405958,0.429378,0.429378,1775096156
2019-06-30,0.429180,0.429180,0.396411,0.396411,0.396411,1570726856
2019-07-01,0.395900,0.417618,0.389673,0.406862,0.406862,1783852225
2019-07-02,0.406414,0.409737,0.384477,0.400204,0.400204,1676193189
2019-07-03,0.400178,0.409239,0.396724,0.408532,0.408532,1436716899
2019-07-04,0.408316,0.408655,0.387974,0.388719,0.388719,1385563454
2019-07-05,0.388729,0.388729,0.375611,0.378964,0.378964,1286860594
2019-07-06,0.379139,0.408374,0.378463,0.389055,0.389055,1521409874
2019-07-07,0.389503,0.398887,0.387624,0.397047,0.397047,1210813689
2019-07-08,0.397261,0.402690,0.392328,0.401533,0.401533,1253488309
2019-07-09,0.401645,0.406549,0.391286,0.394168,0.394168,1413299253
2019-07-10,0.394857,0.397920,0.352078,0.363775,0.363775,2300685763
